,fname,emotion,intensivity,statement,repetition,actor,sex
0,03-01-01-01-01-01-01,neutral,normal,kids,1,1,male
1,03-01-01-01-01-01-02,neutral,normal,kids,1,2,female
2,03-01-01-01-01-01-03,neutral,normal,kids,1,3,male
3,03-01-01-01-01-01-04,neutral,normal,kids,1,4,female
4,03-01-01-01-01-01-05,neutral,normal,kids,1,5,male
5,03-01-01-01-01-01-06,neutral,normal,kids,1,6,female
6,03-01-01-01-01-01-07,neutral,normal,kids,1,7,male
7,03-01-01-01-01-01-08,neutral,normal,kids,1,8,female
8,03-01-01-01-01-01-09,neutral,normal,kids,1,9,male
9,03-01-01-01-01-01-10,neutral,normal,kids,1,10,female
10,03-01-01-01-01-01-11,neutral,normal,kids,1,11,male
11,03-01-01-01-01-01-12,neutral,normal,kids,1,12,female
12,03-01-01-01-01-01-13,neutral,normal,kids,1,13,male
13,03-01-01-01-01-01-14,neutral,normal,kids,1,14,female
14,03-01-01-01-01-01-15,neutral,normal,kids,1,15,male
15,03-01-01-01-01-01-16,neutral,normal,kids,1,16,female
16,03-01-01-01-01-01-17,neutral,normal,kids,1,17,male
17,03-01-01-01-01-01-18,neutral,normal,kids,1,18,female
18,03-01-01-01-01-01-19,neutral,normal,kids,1,19,male
19,03-01-01-01-01-01-20,neutral,normal,kids,1,20,female
20,03-01-01-01-01-01-21,neutral,normal,kids,1,21,male
21,03-01-01-01-01-01-22,neutral,normal,kids,1,22,female
22,03-01-01-01-01-01-23,neutral,normal,kids,1,23,male
23,03-01-01-01-01-01-24,neutral,normal,kids,1,24,female
24,03-01-01-01-01-02-01,neutral,normal,kids,2,1,male
25,03-01-01-01-01-02-02,neutral,normal,kids,2,2,female
26,03-01-01-01-01-02-03,neutral,normal,kids,2,3,male
27,03-01-01-01-01-02-04,neutral,normal,kids,2,4,female
28,03-01-01-01-01-02-05,neutral,normal,kids,2,5,male
29,03-01-01-01-01-02-06,neutral,normal,kids,2,6,female
30,03-01-01-01-01-02-07,neutral,normal,kids,2,7,male
31,03-01-01-01-01-02-08,neutral,normal,kids,2,8,female
32,03-01-01-01-01-02-09,neutral,normal,kids,2,9,male
33,03-01-01-01-01-02-10,neutral,normal,kids,2,10,female
34,03-01-01-01-01-02-11,neutral,normal,kids,2,11,male
35,03-01-01-01-01-02-12,neutral,normal,kids,2,12,female
36,03-01-01-01-01-02-13,neutral,normal,kids,2,13,male
37,03-01-01-01-01-02-14,neutral,normal,kids,2,14,female
38,03-01-01-01-01-02-15,neutral,normal,kids,2,15,male
39,03-01-01-01-01-02-16,neutral,normal,kids,2,16,female
40,03-01-01-01-01-02-17,neutral,normal,kids,2,17,male
41,03-01-01-01-01-02-18,neutral,normal,kids,2,18,female
42,03-01-01-01-01-02-19,neutral,normal,kids,2,19,male
43,03-01-01-01-01-02-20,neutral,normal,kids,2,20,female
44,03-01-01-01-01-02-21,neutral,normal,kids,2,21,male
45,03-01-01-01-01-02-22,neutral,normal,kids,2,22,female
46,03-01-01-01-01-02-23,neutral,normal,kids,2,23,male
47,03-01-01-01-01-02-24,neutral,normal,kids,2,24,female
48,03-01-01-01-02-01-01,neutral,normal,dogs,1,1,male
49,03-01-01-01-02-01-02,neutral,normal,dogs,1,2,female
50,03-01-01-01-02-01-03,neutral,normal,dogs,1,3,male
51,03-01-01-01-02-01-04,neutral,normal,dogs,1,4,female
52,03-01-01-01-02-01-05,neutral,normal,dogs,1,5,male
53,03-01-01-01-02-01-06,neutral,normal,dogs,1,6,female
54,03-01-01-01-02-01-07,neutral,normal,dogs,1,7,male
55,03-01-01-01-02-01-08,neutral,normal,dogs,1,8,female
56,03-01-01-01-02-01-09,neutral,normal,dogs,1,9,male
57,03-01-01-01-02-01-10,neutral,normal,dogs,1,10,female
58,03-01-01-01-02-01-11,neutral,normal,dogs,1,11,male
59,03-01-01-01-02-01-12,neutral,normal,dogs,1,12,female
60,03-01-01-01-02-01-13,neutral,normal,dogs,1,13,male
61,03-01-01-01-02-01-14,neutral,normal,dogs,1,14,female
62,03-01-01-01-02-01-15,neutral,normal,dogs,1,15,male
63,03-01-01-01-02-01-16,neutral,normal,dogs,1,16,female
64,03-01-01-01-02-01-17,neutral,normal,dogs,1,17,male
65,03-01-01-01-02-01-18,neutral,normal,dogs,1,18,female
66,03-01-01-01-02-01-19,neutral,normal,dogs,1,19,male
67,03-01-01-01-02-01-20,neutral,normal,dogs,1,20,female
68,03-01-01-01-02-01-21,neutral,normal,dogs,1,21,male
69,03-01-01-01-02-01-22,neutral,normal,dogs,1,22,female
70,03-01-01-01-02-01-23,neutral,normal,dogs,1,23,male
71,03-01-01-01-02-01-24,neutral,normal,dogs,1,24,female
72,03-01-01-01-02-02-01,neutral,normal,dogs,2,1,male
73,03-01-01-01-02-02-02,neutral,normal,dogs,2,2,female
74,03-01-01-01-02-02-03,neutral,normal,dogs,2,3,male
75,03-01-01-01-02-02-04,neutral,normal,dogs,2,4,female
76,03-01-01-01-02-02-05,neutral,normal,dogs,2,5,male
77,03-01-01-01-02-02-06,neutral,normal,dogs,2,6,female
78,03-01-01-01-02-02-07,neutral,normal,dogs,2,7,male
79,03-01-01-01-02-02-08,neutral,normal,dogs,2,8,female
80,03-01-01-01-02-02-09,neutral,normal,dogs,2,9,male
81,03-01-01-01-02-02-10,neutral,normal,dogs,2,10,female
82,03-01-01-01-02-02-11,neutral,normal,dogs,2,11,male
83,03-01-01-01-02-02-12,neutral,normal,dogs,2,12,female
84,03-01-01-01-02-02-13,neutral,normal,dogs,2,13,male
85,03-01-01-01-02-02-14,neutral,normal,dogs,2,14,female
