fname,emotion,intensivity,statement,repetition,actor,sex
03-01-01-01-01-01-01,neutral,normal,kids,1,1,male
03-01-01-01-01-01-02,neutral,normal,kids,1,2,female
03-01-01-01-01-01-03,neutral,normal,kids,1,3,male
03-01-01-01-01-01-06,neutral,normal,kids,1,6,female
03-01-01-01-01-01-07,neutral,normal,kids,1,7,male
03-01-01-01-01-01-08,neutral,normal,kids,1,8,female
03-01-01-01-01-01-09,neutral,normal,kids,1,9,male
03-01-01-01-01-01-10,neutral,normal,kids,1,10,female
03-01-01-01-01-01-11,neutral,normal,kids,1,11,male
03-01-01-01-01-01-12,neutral,normal,kids,1,12,female
03-01-01-01-01-01-13,neutral,normal,kids,1,13,male
03-01-01-01-01-01-14,neutral,normal,kids,1,14,female
03-01-01-01-01-01-17,neutral,normal,kids,1,17,male
03-01-01-01-01-01-18,neutral,normal,kids,1,18,female
03-01-01-01-01-01-19,neutral,normal,kids,1,19,male
03-01-01-01-01-01-20,neutral,normal,kids,1,20,female
03-01-01-01-01-01-21,neutral,normal,kids,1,21,male
03-01-01-01-01-01-22,neutral,normal,kids,1,22,female
03-01-01-01-01-01-23,neutral,normal,kids,1,23,male
03-01-01-01-01-01-24,neutral,normal,kids,1,24,female
03-01-01-01-01-02-01,neutral,normal,kids,2,1,male
03-01-01-01-01-02-02,neutral,normal,kids,2,2,female
03-01-01-01-01-02-03,neutral,normal,kids,2,3,male
03-01-01-01-01-02-06,neutral,normal,kids,2,6,female
03-01-01-01-01-02-07,neutral,normal,kids,2,7,male
03-01-01-01-01-02-08,neutral,normal,kids,2,8,female
03-01-01-01-01-02-09,neutral,normal,kids,2,9,male
03-01-01-01-01-02-10,neutral,normal,kids,2,10,female
03-01-01-01-01-02-11,neutral,normal,kids,2,11,male
03-01-01-01-01-02-12,neutral,normal,kids,2,12,female
03-01-01-01-01-02-13,neutral,normal,kids,2,13,male
03-01-01-01-01-02-14,neutral,normal,kids,2,14,female
03-01-01-01-01-02-17,neutral,normal,kids,2,17,male
03-01-01-01-01-02-18,neutral,normal,kids,2,18,female
03-01-01-01-01-02-19,neutral,normal,kids,2,19,male
03-01-01-01-01-02-20,neutral,normal,kids,2,20,female
03-01-01-01-01-02-21,neutral,normal,kids,2,21,male
03-01-01-01-01-02-22,neutral,normal,kids,2,22,female
03-01-01-01-01-02-23,neutral,normal,kids,2,23,male
03-01-01-01-01-02-24,neutral,normal,kids,2,24,female
03-01-01-01-02-01-01,neutral,normal,dogs,1,1,male
03-01-01-01-02-01-02,neutral,normal,dogs,1,2,female
03-01-01-01-02-01-03,neutral,normal,dogs,1,3,male
03-01-01-01-02-01-06,neutral,normal,dogs,1,6,female
03-01-01-01-02-01-07,neutral,normal,dogs,1,7,male
03-01-01-01-02-01-08,neutral,normal,dogs,1,8,female
03-01-01-01-02-01-09,neutral,normal,dogs,1,9,male
03-01-01-01-02-01-10,neutral,normal,dogs,1,10,female
03-01-01-01-02-01-11,neutral,normal,dogs,1,11,male
03-01-01-01-02-01-12,neutral,normal,dogs,1,12,female
03-01-01-01-02-01-13,neutral,normal,dogs,1,13,male
03-01-01-01-02-01-14,neutral,normal,dogs,1,14,female
03-01-01-01-02-01-17,neutral,normal,dogs,1,17,male
03-01-01-01-02-01-18,neutral,normal,dogs,1,18,female
03-01-01-01-02-01-19,neutral,normal,dogs,1,19,male
