,fname,emotion,intensivity,statement,repetition,actor,sex
0,BasiaAngry,angry,normal,dogs,1,1,female
1,BasiaCalm,calm,normal,dogs,1,1,female
2,BasiaDisgust,disgust,normal,dogs,1,1,female
3,BasiaFearful,fearful,normal,dogs,1,1,female
4,BasiaHappy,happy,normal,dogs,1,1,female
5,BasiaNormal,normal,normal,dogs,1,1,female
6,BasiaSad,sad,normal,dogs,1,1,female
7,BasiaSuprised,suprised,normal,dogs,1,1,female
8,PawelAngry,angry,normal,dogs,1,1,male
9,PawelCalm,calm,normal,dogs,1,1,male
10,PawelDisgust,disgust,normal,dogs,1,1,male
11,PawelFearful,fearful,normal,dogs,1,1,male
12,PawelHappy,happy,normal,dogs,1,1,male
13,PawelNormal,normal,normal,dogs,1,1,male
14,PawelSad,sad,normal,dogs,1,1,male
15,PawelSuprised,suprised,normal,dogs,1,1,male
16,AndrzejAngry,angry,normal,dogs,1,1,male
17,AndrzejCalm,calm,normal,dogs,1,1,male
18,AndrzejDisgust,disgust,normal,dogs,1,1,male
19,AndrzejFearful,fearful,normal,dogs,1,1,male
20,AndrzejHappy,happy,normal,dogs,1,1,male
21,AndrzejNormal,normal,normal,dogs,1,1,male
22,AndrzejSad,sad,normal,dogs,1,1,male
23,AndrzejSuprised,suprised,normal,dogs,1,1,male
